"","sd","algorithms","lang","n_parallel","u_duration","epenthesis_rate"
"130",15,"naive_bayes","jpn",3,1,1
"131",15,"naive_bayes","jpn",3,2,1
"132",15,"naive_bayes","jpn",3,3,1
"133",15,"naive_bayes","jpn",4,0,0
"134",15,"naive_bayes","jpn",4,1,1
"135",15,"naive_bayes","jpn",4,2,1
"136",15,"naive_bayes","jpn",4,3,1
"137",15,"naive_bayes","jpn",5,0,0
"138",15,"naive_bayes","jpn",5,1,1
"139",15,"naive_bayes","jpn",5,2,1
"140",15,"naive_bayes","jpn",5,3,1
"141",15,"naive_bayes","fr",1,0,0
"142",15,"naive_bayes","fr",1,1,1
"143",15,"naive_bayes","fr",1,2,1
"144",15,"naive_bayes","fr",1,3,1
"145",15,"naive_bayes","fr",2,0,0
"146",15,"naive_bayes","fr",2,1,0.98
"147",15,"naive_bayes","fr",2,2,0.98
"148",15,"naive_bayes","fr",2,3,1
"149",15,"naive_bayes","fr",3,0,0
"150",15,"naive_bayes","fr",3,1,1
"151",15,"naive_bayes","fr",3,2,0.98
"152",15,"naive_bayes","fr",3,3,0.98
"153",15,"naive_bayes","fr",4,0,0
"154",15,"naive_bayes","fr",4,1,0.98
"155",15,"naive_bayes","fr",4,2,0.96
"156",15,"naive_bayes","fr",4,3,1
"157",15,"naive_bayes","fr",5,0,0
"158",15,"naive_bayes","fr",5,1,1
"159",15,"naive_bayes","fr",5,2,1
"160",15,"naive_bayes","fr",5,3,1
"161",20,"viterbi","jpn",1,0,0
"162",20,"viterbi","jpn",1,1,0.96
"163",20,"viterbi","jpn",1,2,0.96
"164",20,"viterbi","jpn",1,3,0.92
"165",20,"viterbi","jpn",2,0,0.96
"166",20,"viterbi","jpn",2,1,0.96
"167",20,"viterbi","jpn",2,2,1
"168",20,"viterbi","jpn",2,3,1
"169",20,"viterbi","jpn",3,0,0.9
"170",20,"viterbi","jpn",3,1,1
"171",20,"viterbi","jpn",3,2,0.96
"172",20,"viterbi","jpn",3,3,1
"173",20,"viterbi","jpn",4,0,0.96
"174",20,"viterbi","jpn",4,1,1
"175",20,"viterbi","jpn",4,2,0.96
"176",20,"viterbi","jpn",4,3,1
"177",20,"viterbi","jpn",5,0,0.94
"178",20,"viterbi","jpn",5,1,0.96
"179",20,"viterbi","jpn",5,2,0.98
"180",20,"viterbi","jpn",5,3,0.98
"181",20,"viterbi","fr",1,0,0
"182",20,"viterbi","fr",1,1,0.92
"183",20,"viterbi","fr",1,2,0.96
"184",20,"viterbi","fr",1,3,0.96
"185",20,"viterbi","fr",2,0,0
"186",20,"viterbi","fr",2,1,0.9
"187",20,"viterbi","fr",2,2,0.98
"188",20,"viterbi","fr",2,3,0.94
"189",20,"viterbi","fr",3,0,0
"190",20,"viterbi","fr",3,1,0.98
"191",20,"viterbi","fr",3,2,0.98
"192",20,"viterbi","fr",3,3,0.92
"193",20,"viterbi","fr",4,0,0
"194",20,"viterbi","fr",4,1,0.94
"195",20,"viterbi","fr",4,2,0.94
"196",20,"viterbi","fr",4,3,1
"197",20,"viterbi","fr",5,0,0
"198",20,"viterbi","fr",5,1,0.98
"199",20,"viterbi","fr",5,2,0.98
"200",20,"viterbi","fr",5,3,0.92
"201",20,"naive_bayes","jpn",1,0,0.04
"202",20,"naive_bayes","jpn",1,1,0.94
"203",20,"naive_bayes","jpn",1,2,0.86
"204",20,"naive_bayes","jpn",1,3,0.88
"205",20,"naive_bayes","jpn",2,0,0.02
"206",20,"naive_bayes","jpn",2,1,0.92
"207",20,"naive_bayes","jpn",2,2,0.9
"208",20,"naive_bayes","jpn",2,3,0.9
"209",20,"naive_bayes","jpn",3,0,0
"210",20,"naive_bayes","jpn",3,1,0.8
"211",20,"naive_bayes","jpn",3,2,0.94
"212",20,"naive_bayes","jpn",3,3,0.88
"213",20,"naive_bayes","jpn",4,0,0
"214",20,"naive_bayes","jpn",4,1,0.82
"215",20,"naive_bayes","jpn",4,2,0.82
"216",20,"naive_bayes","jpn",4,3,0.78
"217",20,"naive_bayes","jpn",5,0,0.04
"218",20,"naive_bayes","jpn",5,1,0.88
"219",20,"naive_bayes","jpn",5,2,0.86
"220",20,"naive_bayes","jpn",5,3,0.92
"221",20,"naive_bayes","fr",1,0,0.02
"222",20,"naive_bayes","fr",1,1,0.88
"223",20,"naive_bayes","fr",1,2,0.84
"224",20,"naive_bayes","fr",1,3,0.86
"225",20,"naive_bayes","fr",2,0,0
"226",20,"naive_bayes","fr",2,1,0.86
"227",20,"naive_bayes","fr",2,2,0.9
"228",20,"naive_bayes","fr",2,3,0.8
"229",20,"naive_bayes","fr",3,0,0
"230",20,"naive_bayes","fr",3,1,0.86
"231",20,"naive_bayes","fr",3,2,0.72
"232",20,"naive_bayes","fr",3,3,0.9
"233",20,"naive_bayes","fr",4,0,0.02
"234",20,"naive_bayes","fr",4,1,0.86
"235",20,"naive_bayes","fr",4,2,0.86
"236",20,"naive_bayes","fr",4,3,0.92
"237",20,"naive_bayes","fr",5,0,0.02
"238",20,"naive_bayes","fr",5,1,0.86
"239",20,"naive_bayes","fr",5,2,0.88
"240",20,"naive_bayes","fr",5,3,0.86
"241",25,"viterbi","jpn",1,0,0
"242",25,"viterbi","jpn",1,1,0.68
"243",25,"viterbi","jpn",1,2,0.78
"244",25,"viterbi","jpn",1,3,0.76
"245",25,"viterbi","jpn",2,0,0.9
"246",25,"viterbi","jpn",2,1,0.92
"247",25,"viterbi","jpn",2,2,0.88
"248",25,"viterbi","jpn",2,3,0.94
"249",25,"viterbi","jpn",3,0,0.92
"250",25,"viterbi","jpn",3,1,0.96
"251",25,"viterbi","jpn",3,2,0.94
"252",25,"viterbi","jpn",3,3,0.96
"253",25,"viterbi","jpn",4,0,0.9
"254",25,"viterbi","jpn",4,1,0.96
"255",25,"viterbi","jpn",4,2,0.94
"256",25,"viterbi","jpn",4,3,0.86
"257",25,"viterbi","jpn",5,0,0.8
"258",25,"viterbi","jpn",5,1,0.84
"259",25,"viterbi","jpn",5,2,0.88
"260",25,"viterbi","jpn",5,3,0.98
"261",25,"viterbi","fr",1,0,0
"262",25,"viterbi","fr",1,1,0.7
"263",25,"viterbi","fr",1,2,0.68
"264",25,"viterbi","fr",1,3,0.76
"265",25,"viterbi","fr",2,0,0.02
"266",25,"viterbi","fr",2,1,0.84
"267",25,"viterbi","fr",2,2,0.86
"268",25,"viterbi","fr",2,3,0.86
"269",25,"viterbi","fr",3,0,0.02
"270",25,"viterbi","fr",3,1,0.8
"271",25,"viterbi","fr",3,2,0.96
"272",25,"viterbi","fr",3,3,0.96
"273",25,"viterbi","fr",4,0,0
"274",25,"viterbi","fr",4,1,0.86
"275",25,"viterbi","fr",4,2,0.86
"276",25,"viterbi","fr",4,3,0.84
"277",25,"viterbi","fr",5,0,0.02
"278",25,"viterbi","fr",5,1,0.94
"279",25,"viterbi","fr",5,2,0.9
"280",25,"viterbi","fr",5,3,0.92
"281",25,"naive_bayes","jpn",1,0,0.04
"282",25,"naive_bayes","jpn",1,1,0.7
"283",25,"naive_bayes","jpn",1,2,0.68
"284",25,"naive_bayes","jpn",1,3,0.54
"285",25,"naive_bayes","jpn",2,0,0.02
"286",25,"naive_bayes","jpn",2,1,0.68
"287",25,"naive_bayes","jpn",2,2,0.66
"288",25,"naive_bayes","jpn",2,3,0.54
"289",25,"naive_bayes","jpn",3,0,0
"290",25,"naive_bayes","jpn",3,1,0.66
"291",25,"naive_bayes","jpn",3,2,0.58
"292",25,"naive_bayes","jpn",3,3,0.6
"293",25,"naive_bayes","jpn",4,0,0.06
"294",25,"naive_bayes","jpn",4,1,0.62
"295",25,"naive_bayes","jpn",4,2,0.58
"296",25,"naive_bayes","jpn",4,3,0.54
"297",25,"naive_bayes","jpn",5,0,0
"298",25,"naive_bayes","jpn",5,1,0.6
"299",25,"naive_bayes","jpn",5,2,0.66
"300",25,"naive_bayes","jpn",5,3,0.58
"301",25,"naive_bayes","fr",1,0,0
"302",25,"naive_bayes","fr",1,1,0.62
"303",25,"naive_bayes","fr",1,2,0.62
"304",25,"naive_bayes","fr",1,3,0.64
"305",25,"naive_bayes","fr",2,0,0.02
"306",25,"naive_bayes","fr",2,1,0.74
"307",25,"naive_bayes","fr",2,2,0.7
"308",25,"naive_bayes","fr",2,3,0.68
"309",25,"naive_bayes","fr",3,0,0
"310",25,"naive_bayes","fr",3,1,0.68
"311",25,"naive_bayes","fr",3,2,0.64
"312",25,"naive_bayes","fr",3,3,0.6
"313",25,"naive_bayes","fr",4,0,0.04
"314",25,"naive_bayes","fr",4,1,0.56
"315",25,"naive_bayes","fr",4,2,0.68
"316",25,"naive_bayes","fr",4,3,0.6
"317",25,"naive_bayes","fr",5,0,0
"318",25,"naive_bayes","fr",5,1,0.62
"319",25,"naive_bayes","fr",5,2,0.62
"320",25,"naive_bayes","fr",5,3,0.66
"321",30,"viterbi","jpn",1,0,0.04
"322",30,"viterbi","jpn",1,1,0.54
"323",30,"viterbi","jpn",1,2,0.64
"324",30,"viterbi","jpn",1,3,0.7
"325",30,"viterbi","jpn",2,0,0.78
"326",30,"viterbi","jpn",2,1,0.82
"327",30,"viterbi","jpn",2,2,0.82
"328",30,"viterbi","jpn",2,3,0.8
"329",30,"viterbi","jpn",3,0,0.76
"330",30,"viterbi","jpn",3,1,0.88
"331",30,"viterbi","jpn",3,2,0.84
"332",30,"viterbi","jpn",3,3,0.86
"333",30,"viterbi","jpn",4,0,0.74
"334",30,"viterbi","jpn",4,1,0.8
"335",30,"viterbi","jpn",4,2,0.88
"336",30,"viterbi","jpn",4,3,0.82
"337",30,"viterbi","jpn",5,0,0.66
"338",30,"viterbi","jpn",5,1,0.78
"339",30,"viterbi","jpn",5,2,0.96
"340",30,"viterbi","jpn",5,3,0.88
"341",30,"viterbi","fr",1,0,0.02
"342",30,"viterbi","fr",1,1,0.52
"343",30,"viterbi","fr",1,2,0.52
"344",30,"viterbi","fr",1,3,0.62
"345",30,"viterbi","fr",2,0,0
"346",30,"viterbi","fr",2,1,0.7
"347",30,"viterbi","fr",2,2,0.78
"348",30,"viterbi","fr",2,3,0.78
"349",30,"viterbi","fr",3,0,0
"350",30,"viterbi","fr",3,1,0.68
"351",30,"viterbi","fr",3,2,0.8
"352",30,"viterbi","fr",3,3,0.88
"353",30,"viterbi","fr",4,0,0
"354",30,"viterbi","fr",4,1,0.74
"355",30,"viterbi","fr",4,2,0.74
"356",30,"viterbi","fr",4,3,0.78
"357",30,"viterbi","fr",5,0,0
"358",30,"viterbi","fr",5,1,0.74
"359",30,"viterbi","fr",5,2,0.8
"360",30,"viterbi","fr",5,3,0.66
"361",30,"naive_bayes","jpn",1,0,0.02
"362",30,"naive_bayes","jpn",1,1,0.38
"363",30,"naive_bayes","jpn",1,2,0.32
"364",30,"naive_bayes","jpn",1,3,0.36
"365",30,"naive_bayes","jpn",2,0,0.02
"366",30,"naive_bayes","jpn",2,1,0.5
"367",30,"naive_bayes","jpn",2,2,0.36
"368",30,"naive_bayes","jpn",2,3,0.38
"369",30,"naive_bayes","jpn",3,0,0.02
"370",30,"naive_bayes","jpn",3,1,0.36
"371",30,"naive_bayes","jpn",3,2,0.38
"372",30,"naive_bayes","jpn",3,3,0.3
"373",30,"naive_bayes","jpn",4,0,0.02
"374",30,"naive_bayes","jpn",4,1,0.38
"375",30,"naive_bayes","jpn",4,2,0.44
"376",30,"naive_bayes","jpn",4,3,0.22
"377",30,"naive_bayes","jpn",5,0,0
"378",30,"naive_bayes","jpn",5,1,0.32
"379",30,"naive_bayes","jpn",5,2,0.42
"380",30,"naive_bayes","jpn",5,3,0.34
"381",30,"naive_bayes","fr",1,0,0.02
"382",30,"naive_bayes","fr",1,1,0.42
"383",30,"naive_bayes","fr",1,2,0.34
"384",30,"naive_bayes","fr",1,3,0.46
"385",30,"naive_bayes","fr",2,0,0.04
"386",30,"naive_bayes","fr",2,1,0.36
"387",30,"naive_bayes","fr",2,2,0.42
"388",30,"naive_bayes","fr",2,3,0.32
"389",30,"naive_bayes","fr",3,0,0
"390",30,"naive_bayes","fr",3,1,0.28
"391",30,"naive_bayes","fr",3,2,0.32
"392",30,"naive_bayes","fr",3,3,0.4
"393",30,"naive_bayes","fr",4,0,0.02
"394",30,"naive_bayes","fr",4,1,0.56
"395",30,"naive_bayes","fr",4,2,0.58
"396",30,"naive_bayes","fr",4,3,0.28
"397",30,"naive_bayes","fr",5,0,0
"398",30,"naive_bayes","fr",5,1,0.44
"399",30,"naive_bayes","fr",5,2,0.36
"400",30,"naive_bayes","fr",5,3,0.36
"401",35,"viterbi","jpn",1,0,0.02
"402",35,"viterbi","jpn",1,1,0.46
"403",35,"viterbi","jpn",1,2,0.48
"404",35,"viterbi","jpn",1,3,0.58
"405",35,"viterbi","jpn",2,0,0.68
"406",35,"viterbi","jpn",2,1,0.78
"407",35,"viterbi","jpn",2,2,0.72
"408",35,"viterbi","jpn",2,3,0.72
"409",35,"viterbi","jpn",3,0,0.6
"410",35,"viterbi","jpn",3,1,0.74
"411",35,"viterbi","jpn",3,2,0.86
"412",35,"viterbi","jpn",3,3,0.74
"413",35,"viterbi","jpn",4,0,0.68
"414",35,"viterbi","jpn",4,1,0.72
"415",35,"viterbi","jpn",4,2,0.82
"416",35,"viterbi","jpn",4,3,0.72
"417",35,"viterbi","jpn",5,0,0.58
"418",35,"viterbi","jpn",5,1,0.72
"419",35,"viterbi","jpn",5,2,0.76
"420",35,"viterbi","jpn",5,3,0.68
"421",35,"viterbi","fr",1,0,0
"422",35,"viterbi","fr",1,1,0.38
"423",35,"viterbi","fr",1,2,0.52
"424",35,"viterbi","fr",1,3,0.52
"425",35,"viterbi","fr",2,0,0.02
"426",35,"viterbi","fr",2,1,0.62
"427",35,"viterbi","fr",2,2,0.68
"428",35,"viterbi","fr",2,3,0.72
"429",35,"viterbi","fr",3,0,0
"430",35,"viterbi","fr",3,1,0.44
"431",35,"viterbi","fr",3,2,0.74
"432",35,"viterbi","fr",3,3,0.78
"433",35,"viterbi","fr",4,0,0
"434",35,"viterbi","fr",4,1,0.74
"435",35,"viterbi","fr",4,2,0.74
"436",35,"viterbi","fr",4,3,0.68
"437",35,"viterbi","fr",5,0,0
"438",35,"viterbi","fr",5,1,0.48
"439",35,"viterbi","fr",5,2,0.64
"440",35,"viterbi","fr",5,3,0.78
"441",35,"naive_bayes","jpn",1,0,0.06
"442",35,"naive_bayes","jpn",1,1,0.2
"443",35,"naive_bayes","jpn",1,2,0.18
"444",35,"naive_bayes","jpn",1,3,0.06
"445",35,"naive_bayes","jpn",2,0,0.08
"446",35,"naive_bayes","jpn",2,1,0.16
"447",35,"naive_bayes","jpn",2,2,0.14
"448",35,"naive_bayes","jpn",2,3,0.2
"449",35,"naive_bayes","jpn",3,0,0.02
"450",35,"naive_bayes","jpn",3,1,0.22
"451",35,"naive_bayes","jpn",3,2,0.18
"452",35,"naive_bayes","jpn",3,3,0.2
"453",35,"naive_bayes","jpn",4,0,0.04
"454",35,"naive_bayes","jpn",4,1,0.24
"455",35,"naive_bayes","jpn",4,2,0.26
"456",35,"naive_bayes","jpn",4,3,0.12
